sequence_number,path,file_type,size_bytes,line_count,purpose,runtime_surface,static_callers,dynamic_usage_checked,route_or_entrypoint,CI/deployment_usage,migration/data_dependency,security_review,performance_review,disposition,evidence,tests_required,review_status,changing_commit_sha
459,mobile/linas-ai/src/app/AppShell.tsx,javascript,8545,296,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
460,mobile/linas-ai/src/app/KeepMountedPane.tsx,javascript,1154,45,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
461,mobile/linas-ai/src/app/moduleNav.ts,javascript,2234,80,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
462,mobile/linas-ai/src/app/navigation.ts,javascript,3479,87,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
463,mobile/linas-ai/src/auth/guestSession.ts,javascript,819,26,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
464,mobile/linas-ai/src/auth/tokenStore.ts,javascript,1159,35,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
465,mobile/linas-ai/src/components/AppIcon.tsx,javascript,1543,46,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
466,mobile/linas-ai/src/components/BrandMark.tsx,javascript,1365,55,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
467,mobile/linas-ai/src/components/EmptyState.tsx,javascript,993,38,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
468,mobile/linas-ai/src/components/GradientBackground.tsx,javascript,1086,44,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
469,mobile/linas-ai/src/components/LinasStarMark.tsx,javascript,1024,34,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
470,mobile/linas-ai/src/components/PrimaryButton.tsx,javascript,2136,87,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
471,mobile/linas-ai/src/components/SideDrawer.tsx,javascript,2671,113,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
472,mobile/linas-ai/src/components/StatusChip.tsx,javascript,981,36,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
473,mobile/linas-ai/src/components/TextField.tsx,javascript,784,31,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
474,mobile/linas-ai/src/config.ts,javascript,1853,37,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
475,mobile/linas-ai/src/features/auth/AuthGateModal.tsx,javascript,3911,113,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
476,mobile/linas-ai/src/features/auth/LoginScreen.tsx,javascript,4886,147,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
477,mobile/linas-ai/src/features/auth/RegisterScreen.tsx,javascript,7913,231,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
478,mobile/linas-ai/src/features/auth/SocialAuthButtons.tsx,javascript,1758,47,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
