path,ext,bytes,loc,hand_written,fully_read,review_status,notes
dashboard/postcss.config.js,.js,81,6,YES,YES,COMPLETE,
dashboard/public/brand/landing/app-screens/content-management.png,.png,161168,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/public/brand/landing/app-screens/guest-chat.png,.png,157441,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/public/brand/landing/app-screens/integrations.png,.png,167946,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/public/brand/landing/app-screens/live-chat.png,.png,142018,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/public/brand/landing/app-screens/navigation.png,.png,125472,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/public/brand/landing/app-screens/owner-copilot.png,.png,160582,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/public/brand/landing/app-screens/settings.png,.png,115426,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/public/brand/landing/linas-app-icon.svg,.svg,1068,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/public/brand/landing/linas-logo.svg,.svg,656,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/public/brand/landing/screenshots/linas-landing-01-hero.jpg,.jpg,112479,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/public/brand/landing/screenshots/linas-landing-02-features.jpg,.jpg,93529,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/public/brand/landing/screenshots/linas-landing-03-how-it-works.jpg,.jpg,87916,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/public/brand/landing/screenshots/linas-landing-04-app-tour.jpg,.jpg,68736,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/public/brand/landing/screenshots/linas-landing-05-pricing.jpg,.jpg,45232,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/public/brand/landing/screenshots/linas-landing-06-resources.jpg,.jpg,63429,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/public/brand/landing/screenshots/linas-landing-07-download.jpg,.jpg,85645,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/public/brand/landing/screenshots/linas-landing-08-contact.jpg,.jpg,67169,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/public/brand/landing/screenshots/linas-landing-09-guest-ai.jpg,.jpg,92644,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/public/brand/linas-auth-hero.png,.png,391522,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/public/brand/linas-avatar-chat.png,.png,21674,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/public/brand/linas-avatar-circle.png,.png,400719,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/public/brand/linas-empty-state.png,.png,236374,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/public/brand/linas-state-idle.png,.png,62997,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/public/brand/linas-state-thinking.png,.png,73687,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/public/brand/linas-state-typing.png,.png,73687,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/public/brand/linas-state-welcome.png,.png,62997,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/public/manifest.json,.json,416,,NO,N/A,BINARY_OR_NON_SOURCE,
dashboard/src/App.jsx,.jsx,4379,95,YES,YES,COMPLETE,
dashboard/src/App.landingAuth.routes.test.jsx,.jsx,4797,134,YES,YES,COMPLETE,added at freeze refresh
dashboard/src/App.routes.test.jsx,.jsx,1800,55,YES,YES,COMPLETE,
dashboard/src/components/Auth/ProtectedRoute.jsx,.jsx,1325,42,YES,YES,COMPLETE,
dashboard/src/components/Auth/ProtectedRoute.test.jsx,.jsx,3751,120,YES,YES,COMPLETE,
dashboard/src/components/Common/ErrorBoundary.jsx,.jsx,1894,65,YES,YES,COMPLETE,
dashboard/src/components/Common/LoadingScreen.jsx,.jsx,1269,27,YES,YES,COMPLETE,
dashboard/src/components/FeedbackModal.jsx,.jsx,4479,118,YES,YES,COMPLETE,
dashboard/src/components/Layout/Header.jsx,.jsx,12453,302,YES,YES,COMPLETE,
dashboard/src/components/Layout/Sidebar.adminBypass.test.jsx,.jsx,2390,74,YES,YES,COMPLETE,
dashboard/src/components/Layout/Sidebar.downloads.test.jsx,.jsx,2880,105,YES,YES,COMPLETE,
dashboard/src/components/Layout/Sidebar.faqSingleEntry.test.jsx,.jsx,2005,60,YES,YES,COMPLETE,
dashboard/src/components/Layout/Sidebar.jsx,.jsx,13632,366,YES,YES,COMPLETE,
dashboard/src/components/Layout/Sidebar.productSurface.test.jsx,.jsx,2645,69,YES,YES,COMPLETE,
dashboard/src/components/UserManagement/PermissionMatrix.jsx,.jsx,4862,169,YES,YES,COMPLETE,
dashboard/src/components/UserManagement/RoleManager.jsx,.jsx,3053,102,YES,YES,COMPLETE,
dashboard/src/components/UserManagement/UserForm.jsx,.jsx,13636,361,YES,YES,COMPLETE,
dashboard/src/components/UserManagement/UserList.jsx,.jsx,6550,168,YES,YES,COMPLETE,
dashboard/src/components/UserManagement/UserManagement.jsx,.jsx,5372,180,YES,YES,COMPLETE,
